pc,tool_1,version_1,contract,type,property
176.0,securify,0,0x5f0d0c4c159970fda5adc93a6b7f17706fd3255c,Safety,TimestampDepend
210.0,securify,0,0x5f0d0c4c159970fda5adc93a6b7f17706fd3255c,Safety,TimestampDepend
350.0,securify,0,0x75f398D5B9E92D17EE307268c28779DA26508F54,Safety,TimestampDepend
422.0,securify,0,0x75f398D5B9E92D17EE307268c28779DA26508F54,Safety,TimestampDepend
510.0,securify,0,0x75f398D5B9E92D17EE307268c28779DA26508F54,Safety,TimestampDepend
1349.0,securify,0,0x5e3741d9faa0f62660bdecdd3ac43c97c83a9881,Violation,RestrictedWrite
869.0,securify,0,0xe736091fc36f1ad476f5e4e03e4425940822d3ba,Safety,TimestampDepend
1021.0,securify,0,0xe736091fc36f1ad476f5e4e03e4425940822d3ba,Safety,TimestampDepend
1084.0,securify,0,0xe736091fc36f1ad476f5e4e03e4425940822d3ba,Violation,RestrictedWrite
1098.0,securify,0,0xe736091fc36f1ad476f5e4e03e4425940822d3ba,Violation,RestrictedWrite
1205.0,securify,0,0x9e611784170b297091de56eb50162548d9b54d87,Safety,TimestampDepend
240.0,securify,0,0x9df71e0a7566f607eb03550331fbef13b61dc29f,Safety,TimestampDepend
290.0,securify,0,0x9df71e0a7566f607eb03550331fbef13b61dc29f,Safety,TimestampDepend
492.0,securify,0,0x9df71e0a7566f607eb03550331fbef13b61dc29f,Safety,TimestampDepend
539.0,securify,0,0x9df71e0a7566f607eb03550331fbef13b61dc29f,Safety,TimestampDepend
1844.0,securify,0,0xcab39d1c7383fc9682a1221bffacbce2bdd967ca,Safety,TimestampDepend
3453.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Safety,TimestampDepend
3007.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Violation,RestrictedWrite
3043.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Violation,RestrictedWrite
3128.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Violation,RestrictedWrite
3233.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Violation,RestrictedWrite
3141.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Violation,RestrictedWrite
3163.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Violation,RestrictedWrite
3199.0,securify,0,0x18429dedafbb65443edf60402294df5c01aee1da,Violation,RestrictedWrite
198.0,securify,0,0x1b725d9bcbd26765fe4836d850631037dfb37e0a,Safety,TimestampDepend
629.0,securify,0,0xbe181da06d93867af0a3ffadcebe345ec35dae4e,Violation,RestrictedWrite
637.0,securify,0,0xbe181da06d93867af0a3ffadcebe345ec35dae4e,Violation,RestrictedWrite
645.0,securify,0,0xbe181da06d93867af0a3ffadcebe345ec35dae4e,Violation,RestrictedWrite
708.0,securify,0,0xbe181da06d93867af0a3ffadcebe345ec35dae4e,Violation,RestrictedWrite
240.0,securify,0,0x817b0a0855fa6e1e0b9a994979b3d5bf864d9560,Safety,TimestampDepend
290.0,securify,0,0x817b0a0855fa6e1e0b9a994979b3d5bf864d9560,Safety,TimestampDepend
492.0,securify,0,0x817b0a0855fa6e1e0b9a994979b3d5bf864d9560,Safety,TimestampDepend
